2026-05-16 11:23:01.180 [info] [LS Main] Starting language server from: /Applications/Antigravity.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm
2026-05-16 11:23:01.229 [info] [LS Main] Args: --csrf_token 019bbd92-3f36-4d1e-9366-8347dd79566f --extension_server_port 54290 --extension_server_csrf_token 20946db2-f81f-4660-add3-30d60015003b --app_data_dir antigravity --cloud_code_endpoint https://cloudcode-pa.googleapis.com
2026-05-16 11:23:01.325 [info] [LS Main] Process spawned with PID: 6095
2026-05-16 11:23:02.288 [error] [LS Main stderr] I0516 11:23:02.287581  6095 server.go:1236] Starting language server process with pid 6095
2026-05-16 11:24:10.404 [error] [LS Main stderr] E0516 11:24:10.403997  6095 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-16 11:24:10.406 [error] [LS Main stderr] W0516 11:24:10.404512  6095 log_context.go:118] Cache(availableModels): Singleflight refresh failed: error getting token source: state syncing error: key not found
E0516 11:24:10.404541  6095 log.go:398] Failed to poll FetchAvailableModels: error getting token source: state syncing error: key not found

2026-05-16 11:25:10.393 [error] [LS Main stderr] E0516 11:25:10.393191  6095 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-16 11:25:10.395 [error] [LS Main stderr] W0516 11:25:10.394733  6095 log_context.go:118] Cache(availableModels): Singleflight refresh failed: error getting token source: state syncing error: key not found
E0516 11:25:10.394862  6095 log.go:398] Failed to poll FetchAvailableModels: error getting token source: state syncing error: key not found

2026-05-16 11:25:54.118 [error] [LS Main stderr] W0516 11:25:54.118213  6095 log_context.go:118] Cache(peopleInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:54.118508  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found

2026-05-16 11:25:54.121 [error] [LS Main stderr] W0516 11:25:54.119943  6095 log_context.go:118] Cache(userInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:54.119984  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0516 11:25:54.120249  6095 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:54.120277  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0516 11:25:54.120485  6095 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:54.120494  6095 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:54.120513  6095 log_context.go:118] Cache(fetchAdminControls): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:54.120537  6095 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-16 11:25:56.084 [error] [LS Main stderr] W0516 11:25:56.083807  6095 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:56.083887  6095 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:56.083899  6095 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:56.084015  6095 log_context.go:118] Cache(userInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:56.084046  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found

2026-05-16 11:25:56.085 [error] [LS Main stderr] W0516 11:25:56.084185  6095 log_context.go:118] Cache(peopleInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:56.084240  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0516 11:25:56.084260  6095 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:56.084278  6095 log_context.go:118] Cache(fetchAdminControls): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:56.084294  6095 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:56.084312  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found

2026-05-16 11:25:58.674 [error] [LS Main stderr] W0516 11:25:58.674078  6095 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:58.674138  6095 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:58.674148  6095 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:58.674239  6095 log_context.go:118] Cache(userInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:58.674277  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0516 11:25:58.674405  6095 log_context.go:118] Cache(peopleInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:58.674425  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found

2026-05-16 11:25:58.675 [error] [LS Main stderr] W0516 11:25:58.674708  6095 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:25:58.674736  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found
W0516 11:25:58.674777  6095 log_context.go:118] Cache(fetchAdminControls): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
W0516 11:25:58.674785  6095 log_context.go:118] Failed to refresh cache in background: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-16 11:26:04.944 [error] [LS Main stderr] I0516 11:26:04.941901  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x2fe8a7ac5e3ddbdc

2026-05-16 11:26:05.703 [error] [LS Main stderr] I0516 11:26:05.703566  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x7f4839149eada4ac

2026-05-16 11:26:06.852 [error] [LS Main stderr] I0516 11:26:06.851233  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf4f20131190ca005

2026-05-16 11:26:08.136 [error] [LS Main stderr] I0516 11:26:08.136465  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xa4aa4f6b6351ea92

2026-05-16 11:26:08.138 [error] [LS Main stderr] I0516 11:26:08.137644  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x167ca76df0ec3113

2026-05-16 11:26:08.224 [error] [LS Main stderr] I0516 11:26:08.224212  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x250ef0fb85ed270e

2026-05-16 11:26:08.624 [error] [LS Main stderr] I0516 11:26:08.623465  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xff61e4eaa3f69e94

2026-05-16 11:26:33.480 [error] [LS Main stderr] E0516 11:26:33.480001  6095 cascade_manager.go:539] Failed to load trajectory 6e121813-9e76-4b38-a667-7346e46791c8 on-demand: failed to load trajectory 6e121813-9e76-4b38-a667-7346e46791c8: open /Users/apple/.gemini/antigravity/conversations/6e121813-9e76-4b38-a667-7346e46791c8.pb: no such file or directory

2026-05-16 11:26:33.480 [error] [LS Main stderr] E0516 11:26:33.480515  6095 interceptor.go:74] /exa.language_server_pb.LanguageServerService/StreamAgentStateUpdates (unknown): agent state for conversation 6e121813-9e76-4b38-a667-7346e46791c8 not found

2026-05-16 11:26:33.527 [error] [LS Main stderr] E0516 11:26:33.526519  6095 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 11:26:33.567 [error] [LS Main stderr] I0516 11:26:33.567298  6095 planner_generator.go:283] Requesting planner with 4 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:26:35.646 [error] [LS Main stderr] I0516 11:26:35.645825  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xac3aed5b00fe29fe

2026-05-16 11:26:41.044 [error] [LS Main stderr] I0516 11:26:41.044014  6095 planner_generator.go:283] Requesting planner with 8 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:26:42.489 [error] [LS Main stderr] I0516 11:26:42.488905  6095 planner_generator.go:318] Encountered retryable api error. retrying in 5s. Error (The model API is currently overloaded and may experience intermittent errors.): RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).: RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).

2026-05-16 11:26:42.530 [error] [LS Main stderr] I0516 11:26:42.530334  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x934db40bc5d41ec9

2026-05-16 11:26:47.489 [error] [LS Main stderr] E0516 11:26:47.489474  6095 log.go:398] RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).: RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).

2026-05-16 11:26:47.492 [error] [LS Main stderr] I0516 11:26:47.492044  6095 planner_generator.go:283] Requesting planner with 9 chat messages at model retry attempt 1 and API retry attempt 2

2026-05-16 11:26:48.602 [error] [LS Main stderr] I0516 11:26:48.586895  6095 planner_generator.go:318] Encountered retryable api error. retrying in 7.595162964s. Error (The model API is currently overloaded and may experience intermittent errors.): RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).: RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).

2026-05-16 11:26:56.182 [error] [LS Main stderr] E0516 11:26:56.182347  6095 log.go:398] RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).: RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).

2026-05-16 11:26:56.186 [error] [LS Main stderr] I0516 11:26:56.185923  6095 planner_generator.go:283] Requesting planner with 10 chat messages at model retry attempt 1 and API retry attempt 3

2026-05-16 11:26:57.863 [error] [LS Main stderr] E0516 11:26:57.863329  6095 log.go:398] agent executor error: model unreachable: RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).: RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).

2026-05-16 11:26:57.865 [error] [LS Main stderr] E0516 11:26:57.864631  6095 log.go:398] model unreachable: RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).: RESOURCE_EXHAUSTED (code 429): Resource has been exhausted (e.g. check quota).

2026-05-16 11:28:04.788 [error] [LS Main stderr] I0516 11:28:04.787968  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x6082188bbd3aed82

2026-05-16 11:28:05.141 [error] [LS Main stderr] I0516 11:28:05.139819  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xc75fd22a7c26ccd

2026-05-16 11:28:07.216 [error] [LS Main stderr] E0516 11:28:07.216069  6095 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 11:28:08.410 [error] [LS Main stderr] E0516 11:28:08.409865  6095 log.go:398] executor is not currently running

2026-05-16 11:28:08.415 [error] [LS Main stderr] E0516 11:28:08.415336  6095 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 11:28:19.192 [error] [LS Main stderr] E0516 11:28:19.192183  6095 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 11:28:19.218 [error] [LS Main stderr] I0516 11:28:19.217818  6095 planner_generator.go:283] Requesting planner with 4 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:28:24.143 [error] [LS Main stderr] I0516 11:28:24.143515  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x5dad1ec951b2fa7e

2026-05-16 11:28:24.974 [error] [LS Main stderr] I0516 11:28:24.974393  6095 planner_generator.go:283] Requesting planner with 6 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:28:25.886 [error] [LS Main stderr] I0516 11:28:25.886077  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x19a7fcb77c076c24

2026-05-16 11:28:27.115 [error] [LS Main stderr] I0516 11:28:27.115058  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x683d0eca4d149e3c

2026-05-16 11:28:27.129 [error] [LS Main stderr] I0516 11:28:27.129567  6095 planner_generator.go:283] Requesting planner with 8 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:28:29.211 [error] [LS Main stderr] I0516 11:28:29.211566  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x37bc1e4864ae0c21

2026-05-16 11:28:29.230 [error] [LS Main stderr] I0516 11:28:29.230350  6095 planner_generator.go:283] Requesting planner with 10 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:28:32.683 [error] [LS Main stderr] I0516 11:28:32.683298  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x54586b32563d3d16

2026-05-16 11:28:32.728 [error] [LS Main stderr] I0516 11:28:32.728577  6095 planner_generator.go:283] Requesting planner with 12 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:28:35.664 [error] [LS Main stderr] I0516 11:28:35.664290  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x3fd7550a65f96de2

2026-05-16 11:28:35.690 [error] [LS Main stderr] I0516 11:28:35.690805  6095 planner_generator.go:283] Requesting planner with 14 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:28:38.173 [error] [LS Main stderr] I0516 11:28:38.173098  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x5a81d14528af1de

2026-05-16 11:28:38.202 [error] [LS Main stderr] I0516 11:28:38.202791  6095 planner_generator.go:283] Requesting planner with 16 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:28:42.855 [error] [LS Main stderr] I0516 11:28:42.853993  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x181d905c9a29ace3

2026-05-16 11:30:30.766 [error] [LS Main stderr] E0516 11:30:30.766306  6095 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 11:30:30.796 [error] [LS Main stderr] I0516 11:30:30.795946  6095 planner_generator.go:283] Requesting planner with 18 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:30:35.911 [error] [LS Main stderr] I0516 11:30:35.911088  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x6b1e5b3777d76852

2026-05-16 11:30:38.714 [error] [LS Main stderr] I0516 11:30:38.714404  6095 planner_generator.go:283] Requesting planner with 20 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:30:44.959 [error] [LS Main stderr] I0516 11:30:44.958324  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x61de976a0807bd4a

2026-05-16 11:33:02.561 [error] [LS Main stderr] I0516 11:33:02.560883  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xcf8a34587e7d942c

2026-05-16 11:33:02.887 [error] [LS Main stderr] I0516 11:33:02.887436  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x28767547775d978e

2026-05-16 11:33:02.896 [error] [LS Main stderr] E0516 11:33:02.896510  6095 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 11:33:02.924 [error] [LS Main stderr] I0516 11:33:02.924267  6095 planner_generator.go:283] Requesting planner with 22 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:33:08.150 [error] [LS Main stderr] I0516 11:33:08.149979  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf05f68bfb88c71a9

2026-05-16 11:33:08.184 [error] [LS Main stderr] I0516 11:33:08.184022  6095 planner_generator.go:283] Requesting planner with 24 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:33:12.669 [error] [LS Main stderr] I0516 11:33:12.668831  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xde58b4533a003a1a

2026-05-16 11:33:15.015 [error] [LS Main stderr] I0516 11:33:15.015169  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:generateContent Trace: 0x12a53c364b3c3591

2026-05-16 11:33:15.029 [error] [LS Main stderr] I0516 11:33:15.029429  6095 planner_generator.go:283] Requesting planner with 26 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:33:19.342 [error] [LS Main stderr] I0516 11:33:19.342617  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x69e1a9d6adee8eb2

2026-05-16 11:33:21.174 [error] [LS Main stderr] I0516 11:33:21.174407  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:generateContent Trace: 0x2b670da1950719e5

2026-05-16 11:33:21.188 [error] [LS Main stderr] I0516 11:33:21.188291  6095 planner_generator.go:283] Requesting planner with 28 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:33:25.058 [error] [LS Main stderr] I0516 11:33:25.058500  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1a957d56c1bfc147

2026-05-16 11:33:25.623 [error] [LS Main stderr] I0516 11:33:25.622863  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x42cf8b1b729ea51b

2026-05-16 11:33:27.311 [error] [LS Main stderr] I0516 11:33:27.311190  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xfddad4f1f0ece742

2026-05-16 11:33:32.260 [error] [LS Main stderr] I0516 11:33:32.260351  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1b117961bc1274af

2026-05-16 11:34:10.376 [error] [LS Main stderr] I0516 11:34:10.376099  6095 planner_generator.go:283] Requesting planner with 30 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:34:13.402 [error] [LS Main stderr] I0516 11:34:13.401541  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb280b660b7b6b61e

2026-05-16 11:34:14.022 [error] [LS Main stderr] I0516 11:34:14.020437  6095 planner_generator.go:283] Requesting planner with 32 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:34:20.512 [error] [LS Main stderr] I0516 11:34:20.511780  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xa275f8eefd778def

2026-05-16 11:34:23.920 [error] [LS Main stderr] I0516 11:34:23.919162  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:generateContent Trace: 0x64365ef738323df1

2026-05-16 11:34:24.063 [error] [LS Main stderr] I0516 11:34:24.063203  6095 planner_generator.go:283] Requesting planner with 34 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:34:28.192 [error] [LS Main stderr] I0516 11:34:28.191856  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x3ee28263a95c28c

2026-05-16 11:34:28.735 [error] [LS Main stderr] I0516 11:34:28.735609  6095 planner_generator.go:283] Requesting planner with 36 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:34:32.191 [error] [LS Main stderr] I0516 11:34:32.190709  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x5db0417329c99d48

2026-05-16 11:34:32.297 [error] [LS Main stderr] I0516 11:34:32.296147  6095 planner_generator.go:283] Requesting planner with 38 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:34:36.055 [error] [LS Main stderr] I0516 11:34:36.055635  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xc140752db17c062c

2026-05-16 11:34:36.588 [error] [LS Main stderr] I0516 11:34:36.588129  6095 planner_generator.go:283] Requesting planner with 40 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:34:40.584 [error] [LS Main stderr] I0516 11:34:40.584464  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x24172104cd9c4901

2026-05-16 11:34:40.617 [error] [LS Main stderr] I0516 11:34:40.617339  6095 planner_generator.go:283] Requesting planner with 42 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:34:44.833 [error] [LS Main stderr] I0516 11:34:44.833456  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf7983579afca1412

2026-05-16 11:34:45.362 [error] [LS Main stderr] I0516 11:34:45.362817  6095 planner_generator.go:283] Requesting planner with 44 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:34:49.238 [error] [LS Main stderr] I0516 11:34:49.237892  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x2045f1dedc85356a

2026-05-16 11:34:49.707 [error] [LS Main stderr] I0516 11:34:49.707263  6095 planner_generator.go:283] Requesting planner with 46 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:34:53.539 [error] [LS Main stderr] I0516 11:34:53.536850  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xaf0ed31b741808be

2026-05-16 11:34:54.672 [error] [LS Main stderr] I0516 11:34:54.672518  6095 planner_generator.go:283] Requesting planner with 48 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:35:00.276 [error] [LS Main stderr] I0516 11:35:00.276477  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xda895c117e4a1562

2026-05-16 11:35:05.780 [error] [LS Main stderr] I0516 11:35:05.779311  6095 planner_generator.go:283] Requesting planner with 50 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:35:09.119 [error] [LS Main stderr] I0516 11:35:09.119332  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x9bb0d4cc517ecc7f

2026-05-16 11:35:14.886 [error] [LS Main stderr] I0516 11:35:14.870307  6095 planner_generator.go:283] Requesting planner with 52 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 11:35:22.040 [error] [LS Main stderr] I0516 11:35:22.039863  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x9dc48a4dcb07bd39

